"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","tweetid"
"1673","#LoL League of legends champs cup ( plastic and stainless steel) ",FALSE,0,NA,2017-12-16 05:17:43,FALSE,NA,"941900124216856576",NA,"<a href=""http://summonershop.com"" rel=""nofollow"">Summoner Shop</a>","summonershop",1,FALSE,FALSE,NA,NA,1673
"1674","LoL Stream Live - Busted mechanics with patch 7.24 latest league of legends information ",FALSE,1,NA,2017-12-16 05:17:13,FALSE,NA,"941899998144401408",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","QuadraDare",0,FALSE,FALSE,NA,NA,1674
"1675","100 Thieves signs Cody Sun to complete its NA LCS roster - Dot Esports via @yeahnoworries",FALSE,0,NA,2017-12-16 05:16:01,FALSE,NA,"941899695760269317",NA,"<a href=""http://www.innonational.com"" rel=""nofollow"">VB Twitter APP Yeahnoworries</a>","yeahnoworries",0,FALSE,FALSE,NA,NA,1675
"1676","Me ha gustado un vdeo de @YouTube (- BoxBox - AT THE LCS EVENT! RIVEN SICK COME BACK!! | League of Legends).",FALSE,0,NA,2017-12-16 05:16:00,FALSE,NA,"941899689087193088",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","QueenStylesMlik",0,FALSE,FALSE,NA,NA,1676
"1677","Riot takes its League of Legends knowledge to after-school coding program ",FALSE,0,NA,2017-12-16 05:15:34,FALSE,NA,"941899582925131777",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","HugeThinking",0,FALSE,FALSE,NA,NA,1677
"1678","Events at  #AFKgg San Jose:
12/16 League Of Legends
12/17 Game Swap Meet
12/18 Mario Party Pasta Nite
12/21 Inju ",FALSE,11,NA,2017-12-16 05:15:28,TRUE,NA,"941899556450476032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AFKggLounge",3,FALSE,FALSE,NA,NA,1678
"1679","League Of Legends Accounts Seller, Visit my store! ",FALSE,1,NA,2017-12-16 05:15:10,FALSE,NA,"941899482148622337",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Lahiox",0,FALSE,FALSE,NA,NA,1679
"1680","Welcome to the League of Legends Champion Spotlight Featuring: Pikachu, the Butt Stalion",FALSE,0,NA,2017-12-16 05:14:50,FALSE,NA,"941899395368407040",NA,"<a href=""http://twitter.com/phreakbot"" rel=""nofollow"">Phreak Bot</a>","PhreakBot",0,FALSE,FALSE,NA,NA,1680
"1681","RT @ZaNeVoYtKo: HIDDEN YASUO GODS - League of Legends Funny Moments with Friends #2: via @YouTube",FALSE,0,NA,2017-12-16 05:14:43,FALSE,NA,"941899366020894721",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","omadasco1984",18,TRUE,FALSE,NA,NA,1681
"1682","semester is over, time to focus on my league of legends career",FALSE,8,NA,2017-12-16 05:14:33,FALSE,NA,"941899325264633857",NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","nikkoantonioc",0,FALSE,FALSE,NA,NA,1682
"1683","@NaChiKyoTsuki97 Haven't seen it yet, but is it better than the stuff that's happening in League of Legends?",FALSE,0,"NaChiKyoTsuki97",2017-12-16 05:14:27,FALSE,"941890171917578240","941899302086983681","3074626238","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Aethereal311",0,FALSE,FALSE,NA,NA,1683
"1684","I added a video to a @YouTube playlist League of Legends (Poro King) Gameplay - Round 1",FALSE,0,NA,2017-12-16 05:13:16,FALSE,NA,"941899000738967552",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","RchapmanPro",0,FALSE,FALSE,NA,NA,1684
"1685","I liked a @YouTube video Rammix | League of Legends Community Collab",FALSE,0,NA,2017-12-16 05:13:09,FALSE,NA,"941898974994272257",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","Novellus16",0,FALSE,FALSE,NA,NA,1685
"1686","How Riot can make All-Stars better next year by @aaronmickunas

READ: ",FALSE,7,NA,2017-12-16 05:12:43,FALSE,NA,"941898866210811905",NA,"<a href=""http://coschedule.com"" rel=""nofollow"">CoSchedule</a>","MobalyticsHQ",1,FALSE,FALSE,NA,NA,1686
"1687","RT @PlumUnicorn: Going Live again and of course playing more League of Legends, come watch! New Emotes is finally here! Subscribe to my Twi",FALSE,0,NA,2017-12-16 05:11:35,FALSE,NA,"941898580138315776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DominanceGrls",5,TRUE,FALSE,NA,NA,1687
"1688","RT @PlumUnicorn: Going Live again and of course playing more League of Legends, come watch! New Emotes is finally here! Subscribe to my Twi",FALSE,0,NA,2017-12-16 05:10:49,FALSE,NA,"941898384067067904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DominanceOrg",5,TRUE,FALSE,NA,NA,1688
"1689","Going Live again and of course playing more League of Legends, come watch! New Emotes is finally here! Subscribe to ",FALSE,5,NA,2017-12-16 05:10:11,TRUE,NA,"941898227816718339",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PlumUnicorn",5,FALSE,FALSE,NA,NA,1689
"1690","ICYMI: Team ROCCAT continue to build their roster for the Spring Split by adding HeaQ: ",FALSE,0,NA,2017-12-16 05:09:08,TRUE,NA,"941897961570689024",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","QuanticoCaster",0,FALSE,FALSE,NA,NA,1690
"1691","2017 All-Star League Of Legends Finals - Day 4 | All-Star 2017 LOL: via @YouTube",FALSE,0,NA,2017-12-16 05:08:58,FALSE,NA,"941897919598415872",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","PlayerIIGames",0,FALSE,FALSE,NA,NA,1691
"1692","@WizKayTV league of legends",FALSE,0,"WizKayTV",2017-12-16 05:08:29,FALSE,"941897338414608384","941897797590188032","266351642","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JFuMeZ",0,FALSE,FALSE,NA,NA,1692
"1693","RT @DaftKid_: @nowvoicethis @FUNimation Here's my #nowvoicethis submission of my favorite character from League of Legends, Ziggs! ",FALSE,0,NA,2017-12-16 05:08:10,FALSE,NA,"941897719345569792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tindabox",13,TRUE,FALSE,NA,NA,1693
"1694","RT @Barrus_Burr: #nsfw Veldrak has been needing this. Being taken by so many hot League studs is any kinky dragon's dream. Art is by -et on",FALSE,0,NA,2017-12-16 05:07:24,FALSE,NA,"941897526441017344",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","faziolis",231,TRUE,FALSE,NA,NA,1694
"1695","RT @Barrus_Burr: #nsfw Veldrak has been needing this. Being taken by so many hot League studs is any kinky dragon's dream. Art is by -et on",FALSE,0,NA,2017-12-16 05:06:40,FALSE,NA,"941897340335640576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VegaLewd",231,TRUE,FALSE,NA,NA,1695
"1696","RT @NunoFrancisco77: [PT/ENG]  Now streaming live League of Legends! Follow if you like what you see! @share_str",FALSE,0,NA,2017-12-16 05:06:32,FALSE,NA,"941897306655379457",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Smoke1GamingRT",6,TRUE,FALSE,NA,NA,1696
"1697","RT @NunoFrancisco77: [PT/ENG]  Now streaming live from PC, League of Legends! Follow if you like what you see!",FALSE,0,NA,2017-12-16 05:06:16,FALSE,NA,"941897241891102720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Smoke1GamingRT",6,TRUE,FALSE,NA,NA,1697
"1698","I liked a @YouTube video Rammix | League of Legends Community Collab",FALSE,0,NA,2017-12-16 05:04:23,FALSE,NA,"941896767741792256",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","TakkunNoTanuki",0,FALSE,FALSE,NA,NA,1698
